,title,language,country,id,year,month,day,affiliation,first _author_last_name,first _author_first_name,first _author_initials,last _author_last_name,last _author_first_name,last _author_initials,all_authors,abstract,url,useful,row_number
100,[Vaccination against viral hepatitis B for public health personnel: the case of the National Fund of Social Security].,fre,Tunisia,11892442,2002,3,15,"Polyclinique El Khadra CNSS, Tunis, Tunisie.",Saadallah,N,N,Zouari,B,B,"N Saadallah, N Jaoua, A Ben Hamida, T Najjar, B Zouari","Viral hepatitis B is endemic in Tunisia at an intermediate level. Health professional are a group particularly exposed to the infection. Immunization is the most efficient way to prevent this disease. In this study, we had try to estimate the cost of three strategies of immunization: immunization after a complete serology, immunization after a sequencial serology and immunization without previous serology. The study was conducted at the clinic of the National Fund of Social Security in El Khadra. All the personal of the clinic was invited to participate to a program of immunization after complete serology. Participation rate was at 93.8%. 33.3% of the personal was immunized (24% by a previous contact with the virus and 9.9% by a previous immunization). The costs of the three strategies were as below: immunization after complete serology: 53.4 tunisian dinars by person. immunization after sequantial serology: 33.06 tunisian dinars by person. immunization without serology: 16.2 tunisian dinars by person. Immunization without previous serology has the lower cost, and doesn't expose at any sid effect. However, a post immunization serology vaccinal should be desirable.",http://www.ncbi.nlm.nih.gov/pubmed/?term=11892442,no,17
112,Cost-effectiveness of three different vaccination strategies against measles in Zambian children.,eng,Netherlands,14670330,2003,12,13,"Centers for Disease Control and Prevention, National Immunization Program, 1600 Clifton Road, Mailstop E-61, Atlanta, GA 30333, USA. gdayan@cdc.gov",Dayan,Gustavo H,GH,Strebel,Peter,P,"Gustavo H Dayan, Lisa Cairns, Nalinee Sangrujee, Anne Mtonga, Van Nguyen, Peter Strebel","The vaccination program in Zambia includes one dose of measles vaccine at 9 months of age. The objective of this study was to compare the cost-effectiveness of the current one-dose measles vaccination program with an immunization schedule in which a second dose is provided either through routine health services or through supplemental immunization activities (SIAs). We simulated the expected cost and impact of the vaccination strategies for an annual cohort of 400,000 children, assuming 80% vaccination coverage in both routine and SIAs and an analytic horizon of 15 years. A vaccination program which includes SIAs reaching children not previously vaccinated would prevent on additional 29,242 measles cases and 1462 deaths for each vaccinated birth cohort when compared with a one-dose program. Given the parameters established for this analysis, such a program would be cost-saving and the most cost-effective vaccination strategy for Zambia.",http://www.ncbi.nlm.nih.gov/pubmed/?term=14670330,no,18
126,Cost-effectiveness of serotesting compared with universal immunization for varicella in refugee children from six geographic regions.,eng,Canada,12946297,2003,8,30,"Maxwell Finland Laboratory for Infectious Diseases, Boston Medical Center, Boston, MA 02118, USA.",Figueira,Marisol,M,Barnett,Elizabeth D,ED,"Marisol Figueira, Demian Christiansen, Elizabeth D Barnett","BACKGROUND: It is unknown whether it is more cost-effective to test for varicella antibody or to immunize without testing in immigrant populations. The reliability of history of varicella disease is also unclear.METHODS: The prevalences of varicella antibody in immigrant children from six regions of the world were used in a cost-effectiveness model to calculate the antibody prevalence above which it is more cost-effective to test rather than to immunize. History of varicella disease was obtained from chart review. We calculated the positive and negative predictive values of varicella history by age group and region.RESULTS: The prevalence of varicella antibody above which it is more cost-effective to test than to immunize was 34% for children less than 13 years old and 17% for those aged 13 years and older. Overall, the positive predictive value of varicella history was 93-100% and the negative predictive value of varicella history was 28-66% among the six geographic regions.CONCLUSION: Immunization without serotesting was cost-effective in children &lt;5 years of age. Testing prior to immunization was cost-effective in children 5 years of age and older. History of varicella was a good predictor of the presence of antibody to varicella, whereas a negative history was a poor predictor of the absence of antibody to varicella.",http://www.ncbi.nlm.nih.gov/pubmed/?term=12946297,no,19
130,Cold chain status at immunisation centres in Ethiopia.,eng,Kenya,12862137,2003,7,17,"Department of Community Health, Faculty of Medicine, Addis Ababa University, P.O. Box 2077, Addis Ababa, Ethiopia.",Berhane,Y,Y,Demissie,M,M,"Y Berhane, M Demissie","BACKGROUND: Child immunisation is among the most cost-effective ways of preventing premature child deaths, and the potency of vaccines, crucial for vaccine efficacy, is dependent on effective management of the cold chain at all levels of vaccine handling.OBJECTIVE: To assess the status of the cold chain at peripheral vaccine stores in Ethiopia.DESIGN: Institution based cross-sectional survey in two rural and one urban administrative areas were included in the study. Sixty seven health institutions providing static vaccination services were included in the study but cold chain system was assessed fully in only sixty four. Data were collected by interviewing health workers and by directly observing the cold chain equipment and records using structured forms.RESULTS: Conditions of the cold chain system were described based on 64 of the 67 centres visited, three were excluded because of non-functioning cold chain. Complete temperature record was observed in 37 (57.8%) of the centres. Thermometer was not available in four (6.3%) and thermometer reading was found to be outside the optimal range in another seven (10.9%) centres. Vaccine storage in the refrigerator was not proper in 47 (73.4%) centres. Majority of the centres had neither trained personnel nor budget for maintenance of the cold chain.CONCLUSION: There is a real danger of vaccines losing their potency at these centres even if they were potent on arrival. Relevant training for those handling the cold chain, improving the maintenance conditions of refrigerators and introduction of cold chain monitoring devises are recommended.",http://www.ncbi.nlm.nih.gov/pubmed/?term=12862137,no,20
140,Impact of mass measles campaigns among children less than 5 years old in Uganda.,eng,United States,12721893,2003,5,2,"Uganda Virus Research Institute, Ministry of Health, Entebbe, Uganda. mnanyunja@who.imul.com",Nanyunja,Miriam,M,Talisuna,Ambrose,A,"Miriam Nanyunja, Rosamund F Lewis, Issa Makumbi, Rachel Seruyange, Eva Kabwongera, Possy Mugyenyi, Ambrose Talisuna","In 1999-2001, a national measles control strategy was implemented in Uganda, including routine immunization and mass vaccination campaigns for children aged 6 months to 5 years. This study assesses the impact of the campaigns on measles morbidity and mortality. Measles cases reported from 1992 through 2001 were obtained from the Health Management Information System, and measles admissions and deaths were assessed in six sentinel hospitals. Measles incidence declined by 39%, measles admissions by 60%, and measles deaths by 63% in the year following the campaigns, with impact lasting 15 to 22 months. Overall, 64% of measles cases were among children &lt;5 years of age, and 93% were among children &lt;/=15 years old. The cost per child vaccinated was $0.86. Routine immunization coverage remained low, at 61% in 2001. To eliminate measles in Uganda, routine immunization should be strengthened, campaigns should be conducted among those &lt;15 years of age, and nationwide case-based measles surveillance should be put in place.",http://www.ncbi.nlm.nih.gov/pubmed/?term=12721893,no,23
169,Economic analysis of the 1996-1997 mass measles immunization campaigns in South Africa.,eng,Netherlands,15308367,2004,8,17,"Global Immunization Division, National Immunization Program, Centers for Disease Control and Prevention, 1600 Clifton Road, MS E-05, Atlanta, GA 30333, USA. auzicanin@cdc.gov",Uzicanin,Amra,A,Strebel,Peter,P,"Amra Uzicanin, Fangjun Zhou, Rudi Eggers, Elize Webb, Peter Strebel","To evaluate economic implications of conducting a &quot;catch-up&quot; measles vaccination campaign, we conducted an economic analysis of the 1996-1997 measles immunization campaign in two provinces of South Africa comparing the baseline two-dose routine immunization program to the combined vaccination strategy (routine two-dose immunization program, plus the 1996-1997 campaign). The study findings indicate that the 1996-1997 mass measles immunization campaign was cost-effective in both study provinces, and cost-saving in the province with higher pre-campaign disease incidence and lower routine vaccination coverage. An early investment in effective vaccination strategies that rapidly reduce disease burden apparently results in better returns, both epidemiologically and economically.",http://www.ncbi.nlm.nih.gov/pubmed/?term=15308367,no,29
176,[Microeconomic evaluation of a mass preventive immunisation campaign against meningococcal meningitis and yellow fever in Senegal in 1997].,fre,France,15047438,2004,3,30,"Association pour l'aide à la médecine préventive, 25, rue du Dr Roux, 75724 Paris, France. aldasilva@compuserve.com",da Silva,Alfred,A,Seck,Ibrahima,I,"Alfred da Silva, Isabelle Parent du Châtelet, Abou Beckr Gaye, Jean-Pierre Dompnier, Ibrahima Seck","Large epidemics of group A meningococcal meningitis occurred in 1995 and 1996 in several countries of the Sub-Saharan Africa zone known as the &quot;meningitis belt&quot;, and more particularly in West Africa. Most of these countries affected by the epidemics met difficulties to set up the strategy recommended by the World Health Organization and which includes: Epidemiological surveillance and epidemic incidence threshold calculation to detect early meningitis epidemics and emergency vaccination campaigns with meningococcal A + C polysaccharide vaccine, if possible within the 4-to-6 weeks following the moment the threshold is reached. In this context of epidemics, notably in Mali, and in front of the risk of resurgence of yellow fever, the Ministry of Health of Senegal decided to conduct mass preventive immunization campaigns in 1997 against meningo- coccal meningitis and yellow fever in the districts located in the eastern part of the country and where emergency vaccination would have been difficult in case of epidemic because these area are difficult to reach. A short-term microeconomic evaluation of additional costs that are necessary to organize one of these mass preventive immunization campaigns was conducted in 1997 in the Matam District, in the Northeast part of Senegal. The method rested on value attribution and accounting procedure. The cost was defined as the monetary value of all mobilized resources to product the campaign corresponding to a plurality of charges and representing all of the effective expenses and donations. During this campaign, 85,925 people were vaccinated and a total number of 163,981 doses of both polysaccharide A + C meningococcal and yellow fever vaccines were administered within 3 weeks. Four intervention strategies were involved: Three for vaccination (mobile, fixed and outreach strategy) and one for coordination, information and training. The total cost of the campaign was 55,322.75 euros. Vaccines and solvents represented 60% of the total cost of the campaign, materiel for injection and safety of injection 26%, vaccination staff 7%, and logistics 7%. The mean cost was 0.34 euro per administered dose and 0.64 euro per vaccinee. The mean cost per administered dose of meningococcal vaccine was 0.44 euro. The mean cost of preventive meningococcal immunization was not higher than the mean cost of meningococcal vaccination during mass emergency immunization campaigns in other countries. The addition of yellow fever antigen brought down the campaign mean cost by 0.11 euro and it allowed economies of scales. Direct unit costs per administered dose were higher when people were vaccinated through the outreach strategy (0.35 euro) than when fixed and mobile strategies were used (0.318 and 0.323 euro, respectively). Costs related to transportation and staff were proportionally higher for the outreach strategy. Direct unit costs per administered dose were higher when vaccinations were done in rural areas (0.32 euro) than when done in urban areas (0.31 euro). Direct unit costs increased when the size of target communities decreased (in communities with less than 100 people to vaccinate versus 0.38 euro in communities with more than 2,000 people to vaccinate). This study allowed us to set up a method to measure, describe and analyze the costs of a mass preventive campaign. It demonstrated the economic impact of using multiple antigens during a single preventive campaign.",http://www.ncbi.nlm.nih.gov/pubmed/?term=15047438,no,30
197,Feasibility of a mass vaccination campaign using a two-dose oral cholera vaccine in an urban cholera-endemic setting in Mozambique.,eng,Netherlands,S0264-410X(05)01042-X,2005,11,22,"Epicentre, Paris, France. philippe.cavailler@epicentre.msf.org",Cavailler,Philippe,P,Chaignat,Claire-Lise,CL,"Philippe Cavailler, Marcelino Lucas, Valerie Perroud, Margaret McChesney, Sonia Ampuero, Philippe J Guérin, Dominique Legros, Thomas Nierle, Claude Mahoudeau, Bruno Lab, Pierre Kahozi, Jacqueline L Deen, Lorenz von Seidlein, Xuan-Yi Wang, Mahesh Puri, Mohammad Ali, John D Clemens, Francisco Songane, Alberto Baptista, Fauzia Ismael, Avertino Barreto, Claire-Lise Chaignat","We conducted a study to assess the feasibility and the potential vaccine coverage of a mass vaccination campaign using a two-dose oral cholera vaccine in an urban endemic neighbourhood of Beira, Mozambique. The campaign was conducted from December 2003 to January 2004. Overall 98,152 doses were administered, and vaccine coverage of the target population was 58.6% and 53.6% for the first and second rounds, respectively. The direct cost of the campaign, which excludes the price of the vaccine, amounted to slightly over 90,000 dollars, resulting in the cost per fully vaccinated person of 2.09 dollars, which is relatively high. However, in endemic settings where outbreaks are likely to occur, integrating cholera vaccination into the routine activities of the public health system could reduce such costs.",http://www.ncbi.nlm.nih.gov/pubmed/?term=S0264-410X(05)01042-X,no,31
199,"Integrating insecticide-treated bednets into a measles vaccination campaign achieves high, rapid and equitable coverage with direct and voucher-based methods.",eng,England,TMI1502,2005,11,3,"American Red Cross, Washington, DC 20006, USA. grabowskym@usa.redcross.org",Grabowsky,Mark,M,Selanikio,Joel,J,"Mark Grabowsky, Nick Farrell, William Hawley, John Chimumbwa, Stefan Hoyer, Adam Wolkon, Joel Selanikio","Population coverage of insecticide-treated nets (ITNs) in Africa falls well below the Abuja target of 60% while coverage levels achieved during vaccination campaigns in the same populations typically exceed 90%. Household (HH) cost of ITNs is an important barrier to their uptake. We investigated the coverage, equity and cost of linking distribution of free ITNs to a measles vaccination campaign. During a national measles vaccination campaign in Zambia, children in four rural districts were given a free ITN when they received their measles vaccination. In one urban district, children were given a voucher, which could be redeemed for a net at a commercial distribution site. About 1700 HHs were asked whether they received vaccination and an ITN during a measles campaign, as well as questions on assets (e.g. type roofing material or bicycle ownership) to assess HH wealth. Net ownership was calculated for children in each wealth quintile. In the rural areas, ITN coverage among children rose from 16.7% to 81.1% and the equity ratio from 0.32 to 0.88 and in the urban area from 50.7% to 76.2% (equity ratio: 0.66-1.19). The operational cost per ITN delivered was dollar 0.35 in the rural area with direct distribution and $1.89 in the urban areas with voucher distribution. Mass distribution of ITNs through vaccination campaigns achieves rapid, high and equitable coverage at low cost.",http://www.ncbi.nlm.nih.gov/pubmed/?term=TMI1502,no,32
201,[Costs of basic health services in a health district in Tunisia].,fre,Egypt,16201707,2005,10,6,"Département de Médecine communautaire, Faculté de Médecine de Sousse, Sousse, Tunisie.",Nouira,A,A,Ali,S Bou,SB,"A Nouira, A Bchir, M Njah, B Yazid, S Bou Ali","Information on the cost of health services is essential for good planning and management and the efficient use of resources. We calculated the total costs incurred in running primary health services for one year (1995) in the health district of Enfidha (Tunisia). The yearly operating expenditure for the health district was 1 219 099 Tunisian dinars and the cost per inhabitant was 17.494 dinars (US dollar 1 = Tunisian dinar 0.950 in 1995); 65.37% of total costs went on staff and 17.03% on drugs. Looked at another way, 84,96% went on curative services and 14.04% on preventive services. The cost of a consultation for curative care was 6.847dinars, for perinatal care was 2.764 dinars, for immunization was 3.680 and for school visit was 6.680 dinars. The study helps to identify ways in which cost analysis can be used to explore efficiency and resource adequacy in the district.",http://www.ncbi.nlm.nih.gov/pubmed/?term=16201707,no,33
219,Review of the cost effectiveness of immunisation strategies for the control of epidemic meningococcal meningitis.,eng,New Zealand,2344,2005,4,28,"Division on International Epidemiology and Population Studies, Fogarty Internatonal Center, National Institutes of Health, Building 16, 16 Center Drive, Bethesda, MD 20892-6705, USA. millermark@nih.gov",Miller,Mark A,MA,Shahab,Cathryn K,CK,"Mark A Miller, Cathryn K Shahab","Outbreaks of meningococcal disease have caused devastation worldwide. Effective vaccines have not been used routinely, due to perceived limitations of the duration of effectiveness as well as immunogenicity when administered during infancy. Given the sporadic nature of outbreaks, the optimal use of these vaccines to control both short-term epidemic and endemic meningococcal disease has been the subject of much debate. Seven economic studies on the use of polysaccharide vaccination strategies help to highlight the relevant epidemiological and economic issues surrounding the decisions for their use. Five of these studies were based in Africa, the region where annual incidence rates can be several orders of magnitude greater than the rest of the world. These studies demonstrated that vaccination against meningococcal disease during outbreak situations is suboptimal given the inability to rapidly immunise populations in a timely fashion in resource-poor areas. However, depending on the disease incidence and the ability to deliver vaccines, the polysaccharide vaccine can be cost effective for preventive strategies when given prior to the start of outbreaks, either through presumptive vaccination or through a modified routine delivery strategy. Economic analyses of mass immunisation campaigns and modelled routine vaccination suggest that routine use of meningococcal vaccines for preventive strategies could be within the range of cost-effective public health interventions in those regions of the world where meningococcal disease is endemic. This includes the meningococcal belt of Africa, the Sahelian region.",http://www.ncbi.nlm.nih.gov/pubmed/?term=2344,no,37
220,Willingness to pay for hypothetical malaria vaccines in rural Burkina Faso.,eng,Sweden,VCV59X7MWR1WEQ73,2005,4,13,"Hygiene Institut, Abteilung für Tropenmedizin und öffentliches Gesundheitswesen, Germany. .",Sauerborn,Rainer,R,Lanzer,Michael,M,"Rainer Sauerborn, Adjima Gbangou, Hengjin Dong, Jude M Przyborski, Michael Lanzer","AIMS: This study aims to set priorities for anti-disease malaria vaccines by determining community preference in a hyperendemic area.METHODS: A bidding game technique was used to elucidate willingness to pay in rural Burkina Faso and 2,326 adults were interviewed.RESULTS: It is shown that there are significant differences between community preference for an anti-disease vaccine aimed at reducing pathology in pregnant women, and for a vaccine directed against childhood malaria. While the target population was willing to pay CFAfr 2101 for a vaccine against maternal malaria, its members were prepared to pay only CFAfr 1433 for a vaccine against childhood malaria.CONCLUSIONS: Whilst it is increasingly likely that anti-disease malaria vaccines will become available in the foreseeable future, lessons from the past suggest that a lack of acceptance and support from the intended recipients may lead to less than optimal compliance, and hence efficacy. For the planning of vaccine development and application strategies, it is therefore highly important to take community views into account. Here it is argued that such information could help researchers and funding agencies to set priorities for future vaccine research.",http://www.ncbi.nlm.nih.gov/pubmed/?term=VCV59X7MWR1WEQ73,no,38
221,Distributing insecticide-treated bednets during measles vaccination: a low-cost means of achieving high and equitable coverage.,eng,Switzerland,S0042-96862005000300012,2005,3,31,"American Red Cross, Washington, DC 20006-5304, USA. grabowskym@usa.redcross.org",Grabowsky,Mark,M,Amofah,George,G,"Mark Grabowsky, Theresa Nobiya, Mercy Ahun, Rose Donna, Miata Lengor, Drake Zimmerman, Holly Ladd, Edward Hoekstra, Aliu Bello, Aba Baffoe-Wilmot, George Amofah","OBJECTIVE: To achieve high and equitable coverage of insecticide-treated bednets by integrating their distribution into a measles vaccination campaign.METHODS: In December 2002 in the Lawra district in Ghana, a measles vaccination campaign lasting 1 week targeted all children aged 9 months-15 years. Families with one or more children less than five years old were targeted to receive a free insecticide-treated bednet. The Ghana Health Service, with support from the Ghana Red Cross and UNICEF, provided logistical support, volunteer workers and social mobilization during the campaign. Volunteers visited homes to inform caregivers about the campaign and encourage them to participate. We assessed pre-campaign coverage of bednets by interviewing caregivers leaving vaccination and distribution sites. Five months after distribution, a two-stage cluster survey using population-proportional sampling assessed bednet coverage, retention and use. Both the pre-campaign and post-campaign survey assessed household wealth using an asset inventory.FINDINGS: At the campaign exit interview 636/776 (82.0%) caregivers reported that they had received a home visit by a Red Cross volunteer before the campaign and that 32/776 (4.1%) of the youngest children in each household who were less than 5 years of age slept under an insecticide-treated bednet. Five months after distribution caregivers reported that 204/219 (93.2%) of children aged 9 months to 5 years had been vaccinated during the campaign; 234/248 (94.4%) of households were observed to have an insecticide-treated bednet; and 170/249 (68.3%) were observed to have a net hung over a bed. Altogether 222/248 (89.5%) caregivers reported receiving at least one insecticide-treated bednet during the campaign, and 153/254 (60.2%) said that on the previous night their youngest child had slept under a bednet received during the campaign. For households in the poorest quintile, post-campaign coverage of insecticide-treated bednets was 10 times higher than pre-campaign coverage of households in the wealthiest quintile (46/51 (90.2%) versus 14/156 (9.0%)). The marginal operational cost was 0.32 US dollars per insecticide-treated bednet delivered.CONCLUSION: These findings suggest that linking bednet distribution to measles vaccination campaigns may provide an important opportunity for achieving high and equitable coverage of bednets.",http://www.ncbi.nlm.nih.gov/pubmed/?term=S0042-96862005000300012,no,39
